Write a Flutter widget test for the following widget from the Flutter Testing App sample:

```dart
class ProfileAvatar extends StatelessWidget {
  final String imageUrl;
  const ProfileAvatar({required this.imageUrl, super.key});

  @override
  Widget build(BuildContext context) {
    return CircleAvatar(
      backgroundImage: NetworkImage(imageUrl),
    );
  }
}
```

## How it works

The `ProfileAvatar` widget is a simple CircleAvatar widget that uses the `NetworkImage` widget to display an image.

The `NetworkImage` widget is a widget that can be used to display an image from the network.

The `NetworkImage` widget is a widget that can be used to display an image from the network.

The `NetworkImage` widget is a widget that can be used to display an image from the network.

The `NetworkImage` widget is a widget that can be used to display an image from the network.

The `NetworkImage` widget is a widget that can be used to display an image from the network.

The `NetworkImage` widget is a widget that can be used to display an image from the network.

The `NetworkImage` widget is a widget that can be used to display an image from the network.

The `NetworkImage` widget is a widget that can be used to display an image from the network.

The `NetworkImage` widget is a widget that can be used to display an image from the network.

The `NetworkImage` widget is a widget that can be used to display an image from the network.

The `NetworkImage` widget is a widget that can be used to display an image from the network.

The `NetworkImage` widget is a widget that
